time,NozGapOpen,NozGapClose,FanSpeed,EngineFuelRateTMSCS,TotalFuelConsumption
07:28:14.300,0.0,0.0,3432.0,16.25,2574.0
07:28:14.400,0.0,0.0,3432.0,16.25,2574.0
07:28:14.500,0.0,0.0,3432.0,16.400000000000002,2574.0
07:28:14.600,0.0,0.0,3432.0,16.400000000000002,2574.0
07:28:14.700,0.0,0.0,3434.0,16.400000000000002,2574.0
07:28:14.700,0.0,0.0,3434.0,16.400000000000002,2574.0
07:28:14.800,0.0,0.0,3435.0,16.35,2574.0
07:28:14.900,0.0,0.0,3434.0,16.400000000000002,2574.0
07:28:15.000,0.0,0.0,3434.0,16.35,2574.0
07:28:15.100,0.0,0.0,3435.0,16.45,2574.0
07:28:15.200,0.0,0.0,3434.0,16.45,2574.0
07:28:15.300,0.0,0.0,3435.0,16.45,2574.0
07:28:15.400,0.0,0.0,3437.0,16.400000000000002,2574.0
07:28:15.500,0.0,0.0,3439.0,16.35,2574.0
07:28:15.600,0.0,0.0,3439.0,16.2,2574.0
07:28:15.700,0.0,0.0,3439.0,16.05,2574.0
07:28:15.800,0.0,0.0,3440.0,15.95,2574.0
07:28:15.900,0.0,0.0,3440.0,15.9,2574.0
07:28:16.000,0.0,0.0,3440.0,15.55,2574.0
07:28:16.100,0.0,0.0,3440.0,15.4,2574.0
07:28:16.200,0.0,0.0,3439.0,15.25,2574.0
07:28:16.300,0.0,0.0,3437.0,15.05,2574.0
07:28:16.400,0.0,0.0,3435.0,14.95,2574.0
07:28:16.500,0.0,0.0,3434.0,14.9,2574.0
07:28:16.600,0.0,0.0,3430.0,14.95,2574.0
07:28:16.700,0.0,0.0,3427.0,15.05,2574.0
07:28:16.800,0.0,0.0,3425.0,15.3,2574.0
07:28:16.900,0.0,0.0,3423.0,15.6,2574.0
07:28:17.000,0.0,0.0,3425.0,15.95,2574.0
07:28:17.100,0.0,0.0,3423.0,16.05,2574.0
07:28:17.200,0.0,0.0,3427.0,16.5,2574.0
07:28:17.300,0.0,0.0,3428.0,16.75,2574.0
07:28:17.400,0.0,0.0,3434.0,16.85,2574.0
07:28:17.500,0.0,0.0,3435.0,16.85,2574.0
07:28:17.600,0.0,0.0,3442.0,16.7,2574.0
07:28:17.700,0.0,0.0,3444.0,16.45,2574.0
07:28:17.800,0.0,0.0,3446.0,16.0,2574.0
07:28:17.900,0.0,0.0,3446.0,15.7,2574.0
07:28:18.000,0.0,0.0,3442.0,15.5,2574.0
07:28:18.100,0.0,0.0,3437.0,15.25,2574.0
07:28:18.200,0.0,0.0,3432.0,15.2,2574.0
07:28:18.300,0.0,0.0,3428.0,15.35,2574.0
07:28:18.400,0.0,0.0,3423.0,15.65,2574.0
07:28:18.500,0.0,0.0,3423.0,16.05,2574.0
07:28:18.600,0.0,0.0,3428.0,16.2,2574.0
07:28:18.700,0.0,0.0,3428.0,16.6,2574.0
07:28:18.800,0.0,0.0,3439.0,16.6,2574.0
07:28:18.900,0.0,0.0,3440.0,16.5,2574.0
07:28:19.000,0.0,0.0,3440.0,16.150000000000002,2574.0
07:28:19.100,0.0,0.0,3442.0,15.9,2574.0
07:28:19.200,0.0,0.0,3437.0,15.85,2574.0
07:28:19.300,0.0,0.0,3437.0,15.6,2574.0
07:28:19.400,0.0,0.0,3434.0,15.55,2574.0
07:28:19.500,0.0,0.0,3434.0,15.55,2574.0
07:28:19.600,0.0,0.0,3434.0,15.75,2574.0
07:28:19.700,0.0,0.0,3432.0,15.75,2574.0
07:28:19.800,0.0,0.0,3434.0,15.8,2574.0
07:28:19.900,0.0,0.0,3432.0,15.9,2574.0
07:28:20.000,0.0,0.0,3432.0,15.95,2574.0
07:28:20.100,0.0,0.0,3432.0,16.0,2574.0
07:28:20.200,0.0,0.0,3430.0,15.85,2574.0
07:28:20.300,0.0,0.0,3430.0,16.2,2574.0
07:28:20.400,0.0,0.0,3428.0,16.35,2574.0
07:28:20.500,0.0,0.0,3428.0,16.5,2574.0
07:28:20.600,0.0,0.0,3430.0,16.650000000000002,2574.0
07:28:20.700,0.0,0.0,3430.0,16.650000000000002,2574.0
07:28:20.800,0.0,0.0,3430.0,16.85,2574.0
07:28:20.900,0.0,0.0,3434.0,16.8,2574.0
07:28:21.000,0.0,0.0,3432.0,17.1,2574.0
07:28:21.100,0.0,0.0,3434.0,17.1,2574.0
07:28:21.200,0.0,0.0,3435.0,17.05,2574.0
07:28:21.300,0.0,0.0,3435.0,17.0,2574.0
07:28:21.400,0.0,0.0,3440.0,16.900000000000002,2574.0
07:28:21.500,0.0,0.0,3442.0,17.05,2574.0
07:28:21.600,0.0,0.0,3446.0,16.5,2574.0
07:28:21.700,0.0,0.0,3451.0,16.150000000000002,2574.0
07:28:21.800,0.0,0.0,3451.0,15.75,2574.0
07:28:21.900,0.0,0.0,3454.0,15.75,2574.0
07:28:22.000,0.0,0.0,3447.0,14.6,2574.0
07:28:22.100,0.0,0.0,3447.0,14.6,2574.0
07:28:22.200,0.0,0.0,3437.0,13.75,2574.0
07:28:22.300,0.0,0.0,3430.0,13.75,2574.0
07:28:22.400,0.0,0.0,3422.0,13.75,2574.0
07:28:22.500,0.0,0.0,3420.0,13.75,2574.0
07:28:22.600,0.0,0.0,3418.0,14.85,2574.0
07:28:22.700,0.0,0.0,3420.0,15.15,2574.0
07:28:22.800,0.0,0.0,3423.0,15.75,2574.0
07:28:22.900,0.0,0.0,3428.0,16.05,2574.0
07:28:23.000,0.0,0.0,3432.0,16.05,2574.0
07:28:23.100,0.0,0.0,3435.0,16.1,2574.0
07:28:23.200,0.0,0.0,3437.0,16.05,2574.0
07:28:23.300,0.0,0.0,3437.0,16.0,2574.0
07:28:23.400,0.0,0.0,3435.0,15.8,2574.0
07:28:23.500,0.0,0.0,3432.0,15.8,2574.0
07:28:23.600,0.0,0.0,3432.0,15.85,2574.0
07:28:23.700,0.0,0.0,3430.0,15.9,2574.0
07:28:23.800,0.0,0.0,3432.0,16.1,2574.0
07:28:23.900,0.0,0.0,3434.0,16.150000000000002,2574.0
07:28:24.000,0.0,0.0,3435.0,16.150000000000002,2574.0
07:28:24.100,0.0,0.0,3437.0,16.05,2574.0
07:28:24.200,0.0,0.0,3437.0,16.0,2574.0
07:28:24.300,0.0,0.0,3435.0,16.05,2574.0
07:28:24.400,0.0,0.0,3435.0,15.85,2574.0
