time,NozGapOpen,NozGapClose,FanSpeed,EngineFuelRateTMSCS,TotalFuelConsumption
06:43:22.600,0.0,0.0,1589.0,7.2,2518.0
06:43:22.700,0.0,0.0,1589.0,7.2,2518.0
06:43:22.800,0.0,0.0,1595.0,7.300000000000001,2518.0
06:43:22.900,0.0,0.0,1602.0,7.35,2518.0
06:43:23.000,0.0,0.0,1606.0,7.4,2518.0
06:43:23.000,0.0,0.0,1606.0,7.4,2518.0
06:43:23.100,0.0,0.0,1613.0,7.4,2518.0
06:43:23.200,0.0,0.0,1616.0,7.5,2518.0
06:43:23.300,0.0,0.0,1621.0,7.35,2518.0
06:43:23.400,0.0,0.0,1623.0,7.4,2518.0
06:43:23.500,0.0,0.0,1628.0,7.35,2518.0
06:43:23.600,0.0,0.0,1630.0,7.25,2518.0
06:43:23.700,0.0,0.0,1635.0,7.25,2518.0
06:43:23.800,0.0,0.0,1637.0,7.15,2518.0
06:43:23.900,0.0,0.0,1638.0,7.1000000000000005,2518.0
06:43:24.000,0.0,0.0,1638.0,7.050000000000001,2518.0
06:43:24.100,0.0,0.0,1638.0,6.9,2518.0
06:43:24.200,0.0,0.0,1649.0,6.95,2518.0
06:43:24.300,0.0,0.0,1649.0,6.800000000000001,2518.0
06:43:24.400,0.0,0.0,1650.0,6.65,2518.0
06:43:24.500,0.0,0.0,1652.0,6.5,2518.0
06:43:24.600,0.0,0.0,1650.0,6.45,2518.0
06:43:24.700,0.0,0.0,1644.0,6.25,2518.0
06:43:24.800,0.0,0.0,1642.0,6.25,2518.0
06:43:24.900,0.0,0.0,1635.0,6.25,2518.0
06:43:25.000,0.0,0.0,1635.0,6.25,2518.0
06:43:25.100,0.0,0.0,1626.0,6.300000000000001,2518.0
06:43:25.200,0.0,0.0,1626.0,6.4,2518.0
06:43:25.300,0.0,0.0,1625.0,6.4,2518.0
06:43:25.400,0.0,0.0,1621.0,6.45,2518.0
06:43:25.500,0.0,0.0,1619.0,6.5,2518.0
06:43:25.600,0.0,0.0,1613.0,6.6000000000000005,2518.0
06:43:25.700,0.0,0.0,1611.0,6.65,2518.0
06:43:25.800,0.0,0.0,1609.0,6.800000000000001,2518.0
06:43:25.900,0.0,0.0,1611.0,6.9,2518.0
06:43:26.000,0.0,0.0,1614.0,7.050000000000001,2518.0
06:43:26.100,0.0,0.0,1616.0,7.0,2518.0
06:43:26.200,0.0,0.0,1618.0,7.0,2518.0
06:43:26.300,0.0,0.0,1618.0,7.1000000000000005,2518.0
