time,NozGapOpen,NozGapClose,FanSpeed,EngineFuelRateTMSCS,TotalFuelConsumption
07:06:57.900,1.0,0.0,3434.0,14.8,2542.0
07:06:58.000,1.0,0.0,3437.0,14.8,2542.0
07:06:58.100,1.0,0.0,3434.0,14.75,2542.0
07:06:58.200,1.0,0.0,3437.0,14.75,2542.0
07:06:58.300,1.0,0.0,3434.0,14.75,2542.0
07:06:58.400,1.0,0.0,3437.0,14.75,2542.0
07:06:58.500,1.0,0.0,3432.0,14.75,2542.0
07:06:58.500,1.0,0.0,3432.0,14.75,2542.0
07:06:58.600,1.0,0.0,3435.0,14.75,2542.0
07:06:58.700,1.0,0.0,3432.0,14.8,2542.0
07:06:58.800,1.0,0.0,3434.0,14.8,2542.0
07:06:58.900,1.0,0.0,3434.0,14.85,2542.0
07:06:59.000,1.0,0.0,3434.0,14.85,2542.0
07:06:59.100,1.0,0.0,3434.0,14.85,2542.0
07:06:59.200,1.0,0.0,3434.0,14.85,2542.0
07:06:59.300,1.0,0.0,3434.0,14.85,2542.0
07:06:59.400,1.0,0.0,3435.0,14.85,2542.0
07:06:59.500,1.0,0.0,3435.0,15.0,2542.0
07:06:59.600,1.0,0.0,3435.0,15.0,2542.0
07:06:59.700,1.0,0.0,3434.0,14.8,2542.0
07:06:59.800,1.0,0.0,3434.0,14.8,2542.0
07:06:59.900,1.0,0.0,3434.0,14.8,2542.0
07:07:00.000,1.0,0.0,3435.0,14.8,2542.0
07:07:00.100,1.0,0.0,3434.0,14.8,2542.0
07:07:00.200,1.0,0.0,3435.0,14.8,2542.0
07:07:00.300,1.0,0.0,3434.0,14.7,2542.0
07:07:00.400,1.0,0.0,3435.0,14.7,2542.0
07:07:00.500,1.0,0.0,3432.0,14.8,2542.0
07:07:00.600,1.0,0.0,3434.0,14.8,2542.0
07:07:00.700,1.0,0.0,3432.0,14.9,2542.0
07:07:00.800,1.0,0.0,3435.0,14.9,2542.0
07:07:00.900,1.0,0.0,3432.0,14.8,2542.0
07:07:01.000,1.0,0.0,3435.0,14.8,2542.0
07:07:01.100,1.0,0.0,3432.0,14.95,2542.0
07:07:01.200,1.0,0.0,3435.0,14.95,2542.0
07:07:01.300,1.0,0.0,3434.0,15.1,2542.0
07:07:01.400,1.0,0.0,3435.0,15.1,2542.0
07:07:01.500,1.0,0.0,3434.0,14.8,2542.0
07:07:01.600,1.0,0.0,3435.0,14.8,2542.0
07:07:01.700,1.0,0.0,3435.0,14.85,2542.0
07:07:01.800,1.0,0.0,3434.0,14.85,2542.0
07:07:01.900,1.0,0.0,3435.0,14.75,2542.0
07:07:02.000,1.0,0.0,3434.0,14.75,2542.0
07:07:02.100,1.0,0.0,3434.0,14.8,2542.0
07:07:02.200,1.0,0.0,3434.0,14.8,2542.0
07:07:02.300,1.0,0.0,3434.0,14.8,2542.0
07:07:02.400,1.0,0.0,3435.0,14.8,2542.0
07:07:02.500,1.0,0.0,3434.0,14.8,2542.0
07:07:02.600,1.0,0.0,3435.0,14.8,2542.0
07:07:02.700,1.0,0.0,3434.0,14.75,2542.0
07:07:02.800,1.0,0.0,3435.0,14.75,2542.0
07:07:02.900,1.0,0.0,3434.0,14.85,2542.0
07:07:03.000,1.0,0.0,3434.0,14.85,2542.0
07:07:03.100,1.0,0.0,3434.0,14.85,2542.0
07:07:03.200,1.0,0.0,3435.0,14.85,2542.0
07:07:03.300,1.0,0.0,3434.0,14.8,2542.0
07:07:03.400,1.0,0.0,3434.0,14.8,2542.0
07:07:03.500,1.0,0.0,3434.0,14.85,2542.0
07:07:03.600,1.0,0.0,3434.0,14.85,2542.0
07:07:03.700,1.0,0.0,3434.0,14.9,2542.0
07:07:03.800,1.0,0.0,3435.0,14.9,2542.0
07:07:03.900,1.0,0.0,3435.0,14.75,2542.0
07:07:04.000,1.0,0.0,3435.0,14.75,2542.0
07:07:04.100,1.0,0.0,3434.0,14.8,2542.0
07:07:04.200,1.0,0.0,3435.0,14.8,2542.0
07:07:04.300,1.0,0.0,3435.0,14.75,2542.0
07:07:04.400,1.0,0.0,3435.0,14.7,2542.0
07:07:04.500,1.0,0.0,3435.0,14.7,2542.0
07:07:04.600,1.0,0.0,3435.0,14.7,2542.0
07:07:04.700,1.0,0.0,3434.0,14.7,2542.0
07:07:04.800,1.0,0.0,3434.0,14.75,2542.0
07:07:04.900,1.0,0.0,3434.0,14.75,2542.0
07:07:05.000,1.0,0.0,3434.0,14.7,2542.0
07:07:05.100,1.0,0.0,3434.0,14.75,2542.0
07:07:05.200,1.0,0.0,3432.0,14.75,2542.0
07:07:05.300,1.0,0.0,3434.0,14.8,2542.0
07:07:05.400,1.0,0.0,3435.0,14.8,2542.0
07:07:05.500,1.0,0.0,3434.0,14.8,2542.0
07:07:05.600,1.0,0.0,3435.0,14.8,2542.0
07:07:05.700,1.0,0.0,3435.0,14.85,2542.0
